"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"823.8","016974849","Monograph","Language material ; Still image ; Text","Volume","GBB4E5523","","9781447280002","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","Through the Looking-Glass : and What Alice Found There","","","","England","London","Macmillan","2015","","213 pages, illustrations","YKL.2016.a.10833","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
"823.8","016974855","Monograph","Language material ; Still image ; Text","Volume","GBB4E5529","","9781447287117","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","The nursery 'Alice'","","","","England","London","Macmillan","2015","","56 pages, illustrations, 21 cm","YKL.2016.a.10810","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
"823.8","016991278","Monograph","Language material ; Still image ; Text","Volume","GBB4F3559","","9781782010838","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Everson, Michael, 1963-, editor [person] ; Williams, Nicholas, editor [person]","Alice's adventures in Wonderland = 'Æl (u026A) s (u026A) z (u0259) d'vent (u0283) (u0259) z (u026A) n 'W (u1D27) nd (u0259) (u02B4) lænd","Alice's adventures in Wonderland in the IPA","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2014","","viii, 120 pages, black and white illustrations, 22 cm","","Alice (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","English","'An edition printed in the International Phonetic Alphabet' -- title page",""
"823.8","017001236","Monograph","Language material ; Still image ; Text","Volume","GBB501208","","9781406361575","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Browne, Anthony, 1946-, illustrator [person]","Alice's adventures in Wonderland","","","","England","London","Walker","2015","","117 pages, illustrations, 28 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
"823.8","017001774","Monograph","Language material ; Still image ; Text","Volume","GBB501746","","9781631060687","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland and other tales","Alice's adventures in Wonderland ; Hunting of the Snark ; Sylvie and Bruno ; Through the looking-glass ; Works. Selections","Knickerbocker classics","","United States of America","New York","Race Point Publishing","2015","","xxvii, 1029 pages, black and white illustrations, 25 cm","YKL.2015.b.5795","Children's stories, English ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","In slip case",""
"823.8","017010728","Monograph","Language material ; Still image ; Text","Volume","GBB505860","","9781782010951","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Williams, Nicholas, 1942-, translator [person]","Aventurs Alys in Pow an Anethow : Alice's adventures in Wonderland in Cornish","Alice's adventures in Wonderland. Cornish","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2015","","135 pages, black and white illustrations, 22 cm","","Alice (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","Cornish","Originally published: 2009",""
"823.8","017010963","Monograph","Language material ; Text","Volume","GBB506095","","9781847494078","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland : and, Through the looking glass","Novels. Selections ; Through the looking-glass","","","England","Richmond, Surrey","Alma Classics","2015","150th anniversary edition","387 pages, black and white illustrations, 20 cm","YKL.2017.a.16497","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","",""
"823.8","017011660","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB506791","","9780571323364","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person]","Alice's adventures in Wonderland","","Faber children's classics","","England","London","Faber & Faber","2015","Main","1 online resource","ELD.DS.126824","Alice, (Fictitious character from Carroll)--Juvenile fiction ; Classic Fiction (Children's/Ya)","Children's fiction","English","",""
"823.8","017019241","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Sheet","GBB508826","","9781406361728","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Ferguson, Richard [person] ; Royal Mail Group (Firm) [organisation]","Alice's adventures in Wonderland","Alice's adventures in Wonderland. Abridgement","Panorama pops","","England","London","Royal Mail Group ; Walker","2015","Anniversary edition","1 folded sheet (unpaged), colour illustrations, 11 cm","YKL.2017.a.13245","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile literature ; Pop-up books--Specimens","Children's literature ; Pictorial work ; Specimen","English","'Based on Royal Mail stamps illustrated by Grahame Baker-Smith'--Cover ; Concertina format ; In slipcase ; Includes pop-up illustrations",""
"823.8","017037197","Monograph","Language material ; Still image ; Text","Volume","GBB513225","","9781137505460","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Cohen, Morton N. (Morton Norton), 1921-2017, editor [person] ; Green, Roger Lancelyn, editor [person]","The selected letters of Lewis Carroll","Correspondence. Selections","","","England","Basingstoke","Palgrave Macmillan","2015","Anniversary edition","xix, 302 pages, 8 pages of plates, black and white illustrations, 22 cm","YC.2016.a.9285","Novelists, English--19th century--Correspondence ; Carroll, Lewis, 1832-1898--Correspondence","Correspondence","English","'The Macmillan Alice 150 years'--Front cover",""
