"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Through the looking glass, and what Alice found there","Through the looking-glass","009409036","Monograph","Language material ; Text","Volume","GB7800474","","9780330252546","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person]","Piccolo","","England","London","","1977","","123 pages, 18 cm","823.8","X.990/9370","Fiction in English ; Fiction in English--1837-1900--Texts","","English","",""
"Through the looking glass, and what Alice found there. Bulgarian","Alica v ogledalnii︠a︡ svi︠a︡t","017633082","Monograph","Language material ; Text","Volume","","","9789542984061","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Gi︠u︡zelev, I︠A︡sen, illustrator [person]","","","Bulgaria","Sofii︠a︡","Helikon","2015","","183 pages, colour illustrations, 24 x 25 cm","","LF.31.a.5211","Through the looking-glass (Carroll, Lewis)","","Bulgarian","Translation of: Through the looking glass, and what Alice found there",""
"Through the looking glass. Belorussian","Na tym baku li͡ustra, i shto tam napatkala Alesi͡u = Through the looking glass in Belarusian ; Through the looking glass in Belarusian","017749819","Monograph","Language material ; Still image ; Text","Volume","GBB627409","","9781782011491","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Everson, Michael, 1963-, editor ; writer [person] ; Shchur, Maks, translator [person]","","","Ireland","Portlaoise","Evertype","2016","Vydanʹne pershae = First edition","x, 166 pages, black and white illustrations, 22 cm","823.8","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","Belarusian","",""
"Through the looking glass. Cornish","Der an gweder meras ha myns a gafas Alys ena","017080788","Monograph","Language material ; Still image ; Text","Volume","GBB523794","","9781782010968","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Everson, Michael, 1963-, writer [person] ; Williams, Nicholas, 1942-, translator [person]","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2015","","168 pages, illustrations, 22 cm","823.8","","Alice, (Fictitious character from Carroll)","Children's fiction","Cornish ; English","Translated from the English",""
"Through the looking glass. Irish","Lastall den scathan agus a bhfuair Eilis ann roimpi","013123228","Monograph","Language material ; Text","Volume","GBA645403","","9781904808046 ; 9781904808053","Carroll, Lewis","1832-1898","person","","Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","","","Ireland","Dublin","Coisceim","2004","","169 pages, illustrations, 22 cm","823.8","YK.2006.a.11049","","","Irish","",""
"Through the looking glass. Neapolitan Italian","Attravierzo 'o specchio e cchello c'Alice ce truvaie","019504029","Monograph","Language material ; Text","Volume","GBB9D9672","","9781782012382","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; D'Ajello, Roberto, translator [person]","","","Scotland","Dundee","Evertype","2019","","xxxvi, 177 pages, illustrations, 22 cm","823.8","","","Children's fiction","English ; Neapolitan","Text in Neapolitan Italian, translated from English. Preface and some notes in English",""
"Through the looking-glass & what Alice found there --","Alice's adventures in Wonderland -- ; Rhyme and reason -- ; Sylvie and Bruno -- ; Sylvie and Bruno concluded -- ; The complete illustrated Lewis Carroll ; Works","014580456","Monograph","Language material ; Text","Volume","GBB018344","","9781840220742","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914 [person]","Wordsworth library collection","","England","Ware","Wordsworth","2008","","1232 pages, illustrations, 24 cm","828.809","Nov.2009/1810","Alice, (Fictitious character from Carroll)--Literary collections ; Carroll, Lewis, 1832-1898--Literary collections","Compendium or compilation","English","",""
"Through the looking-glass : & what Alice found there","","015808650","Monograph","Language material ; Text","Volume","GBB158830","","9780230755413","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","","","England","London","Macmillan","2011","","236 pages, colour illustrations, 29 cm","823.8","YK.2012.b.4506","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
"Through the looking-glass : a play","Through the looking-glass","000742813","Monograph","Language material ; Text","Volume","","","","Coles, Hylton","","person","author","Carroll, Lewis, 1832-1898 [person] ; Coles, Hylton, author [person]","Troubadour plays","","England ; Scotland","Glasgow ; London","Blackie","1948","","79 pages (8°)","","X.989/278.bb. (18.)","","","English","",""
"Through the looking-glass : and what Alice found there","","000617598","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","","","England","London","Macmillan","1872","","224 pages, illustrations (8°)","","C.71.b.33","","","English","",""
"Through the looking-glass : and what Alice found there","","000617599","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","","","England","London","Macmillan","1897","","xiii, 227 pages, illustrations (8°)","","012808.eee.57","","","English","",""
"Through the looking-glass : and what Alice found there","","000617600","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","Macmillan's sxpenny series","","England ; United States of America","London ; New York","Macmillan","1898","","122 pages, illustrations (8°)","","012208.g.3/9","","","English","",""
"Through the looking-glass : and what Alice found there","","000617601","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","","","England","London","Macmillan","1910","Miniature edition","xi, 228 pages, frontispiece, illustrations, 16 cm","","12821.a.53","","","English","",""
"Through the looking-glass : and what Alice found there","","000617602","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","","","England","London","Macmillan","1913","","xiii, 231 pages, illustrations (8°)","","012826.e.7","","","English","'Sixty-fifth thousand.' ; A reissue of the edition of 1897",""
"Through the looking-glass : and what Alice found there","","000617604","Monograph","Language material ; Text","Volume","","","","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","","","England","London","Macmillan","1927","Children's edition","xiii, 235 pages, 16 leaves of plates, illustrations, 21 cm","","12801.r.11","","","English","",""
